# NOS Active station ID|Name|URN|Lat|Lon
9063020|Buffalo, NY|urn:ioos:station:NOAA.NOS.CO-OPS:9063020|42.8774|-78.8905
9063028|Sturgeon Point, NY|urn:ioos:station:NOAA.NOS.CO-OPS:9063028|42.6913|-79.0473
9063038|Erie, PA|urn:ioos:station:NOAA.NOS.CO-OPS:9063038|42.154|-80.0925
9063053|Fairport, OH|urn:ioos:station:NOAA.NOS.CO-OPS:9063053|41.7598|-81.2811
9063063|Cleveland, OH|urn:ioos:station:NOAA.NOS.CO-OPS:9063063|41.5409|-81.6355
9063079|Marblehead, OH|urn:ioos:station:NOAA.NOS.CO-OPS:9063079|41.5436|-82.7314
9063085|Toledo, OH|urn:ioos:station:NOAA.NOS.CO-OPS:9063085|41.6936|-83.4723
9063090|Fermi Power Plant, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9063090|41.9601|-83.2569
9075002|Lakeport, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9075002|43.1404|-82.4939
9075014|Harbor Beach, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9075014|43.8462|-82.6431
9075035|Essexville, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9075035|43.6404|-83.8468
9075065|Alpena, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9075065|45.063|-83.4286
9075080|Mackinaw City, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9075080|45.7779|-84.7253
9075099|De Tour Village, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9075099|45.9925|-83.8982
9076024|Rock Cut, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9076024|46.2648|-84.1912
9076027|West Neebish Island, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9076027|46.2847|-84.2098
9076033|Little Rapids, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9076033|46.4857|-84.3018
9076060|U.S. Slip, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9076060|46.501|-84.3403
9076070|S.W. Pier, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9076070|46.5011|-84.3726
9087023|Ludington, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9087023|43.9474|-86.4416
9087031|Holland, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9087031|42.7681|-86.2012
9087044|Calumet Harbor, IL|urn:ioos:station:NOAA.NOS.CO-OPS:9087044|41.7299|-87.5384
9087057|Milwaukee, WI|urn:ioos:station:NOAA.NOS.CO-OPS:9087057|43.002|-87.8876
9087068|Kewaunee, WI|urn:ioos:station:NOAA.NOS.CO-OPS:9087068|44.464|-87.501
9087072|Sturgeon Bay Canal, WI|urn:ioos:station:NOAA.NOS.CO-OPS:9087072|44.7956|-87.3143
9087079|Green Bay, WI|urn:ioos:station:NOAA.NOS.CO-OPS:9087079|44.5411|-88.0072
9087088|Menominee, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9087088|45.0959|-87.5899
9087096|Port Inland, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9087096|45.9699|-85.8715
9099004|Point Iroquois, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9099004|46.4845|-84.6309
9099018|Marquette C.G., MI|urn:ioos:station:NOAA.NOS.CO-OPS:9099018|46.5456|-87.3791
9099044|Ontonagon, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9099044|46.8743|-89.3242
9099064|Duluth, MN|urn:ioos:station:NOAA.NOS.CO-OPS:9099064|46.7757|-92.092
9099090|Grand Marais, MN|urn:ioos:station:NOAA.NOS.CO-OPS:9099090|47.7478|-90.3413
9410170|San Diego, CA|urn:ioos:station:NOAA.NOS.CO-OPS:9410170|32.7142|-117.1736
9410230|La Jolla, CA|urn:ioos:station:NOAA.NOS.CO-OPS:9410230|32.8667|-117.258
9410660|Los Angeles, CA|urn:ioos:station:NOAA.NOS.CO-OPS:9410660|33.72|-118.272
9410840|Santa Monica, CA|urn:ioos:station:NOAA.NOS.CO-OPS:9410840|34.0083|-118.5
9411340|Santa Barbara, CA|urn:ioos:station:NOAA.NOS.CO-OPS:9411340|34.4083|-119.685
9411406|Oil Platform Harvest, CA|urn:ioos:station:NOAA.NOS.CO-OPS:9411406|34.4683|-120.673
9412110|Port San Luis, CA|urn:ioos:station:NOAA.NOS.CO-OPS:9412110|35.1767|-120.76
9413450|Monterey, CA|urn:ioos:station:NOAA.NOS.CO-OPS:9413450|36.605|-121.888
9414290|San Francisco, CA|urn:ioos:station:NOAA.NOS.CO-OPS:9414290|37.8067|-122.465
9414523|Redwood City, CA|urn:ioos:station:NOAA.NOS.CO-OPS:9414523|37.5067|-122.21
9414575|Coyote Creek, CA|urn:ioos:station:NOAA.NOS.CO-OPS:9414575|37.465|-122.023
9414750|Alameda, CA|urn:ioos:station:NOAA.NOS.CO-OPS:9414750|37.7717|-122.2983
9414863|Richmond, CA|urn:ioos:station:NOAA.NOS.CO-OPS:9414863|37.9283|-122.4
9414958|Bolinas, Bolinas Lagoon, CA|urn:ioos:station:NOAA.NOS.CO-OPS:9414958|37.908|-122.6785
9415020|Point Reyes, CA|urn:ioos:station:NOAA.NOS.CO-OPS:9415020|37.9961|-122.9767
9415102|Martinez-Amorco Pier, CA|urn:ioos:station:NOAA.NOS.CO-OPS:9415102|38.0346|-122.1252
9415144|Port Chicago, CA|urn:ioos:station:NOAA.NOS.CO-OPS:9415144|38.056|-122.0395
9416841|Arena Cove, CA|urn:ioos:station:NOAA.NOS.CO-OPS:9416841|38.9133|-123.708
9418767|North Spit, CA|urn:ioos:station:NOAA.NOS.CO-OPS:9418767|40.7667|-124.217
9419750|Crescent City, CA|urn:ioos:station:NOAA.NOS.CO-OPS:9419750|41.745|-124.183
9431647|Port Orford, OR|urn:ioos:station:NOAA.NOS.CO-OPS:9431647|42.739|-124.4983
9432780|Charleston, OR|urn:ioos:station:NOAA.NOS.CO-OPS:9432780|43.345|-124.322
9435380|South Beach, OR|urn:ioos:station:NOAA.NOS.CO-OPS:9435380|44.625|-124.043
